idx,pw_us,freq_hz,subject,peak_torque_Nm,time_to_peak_s,mean_torque_Nm,torque_rms_Nm,rise_slope_Nm_s
0,50,33,1,0.0,0.0,-1.2512,1.2617,-2.6177
1,50,33,2,0.0,0.0,-8.9533,9.0293,-19.2349
2,50,33,3,0.0,0.0,-0.2251,0.2269,-0.4702
3,50,33,4,0.0,0.0,-0.7815,0.7888,-1.6422
4,50,33,5,0.0,0.0,-0.5218,0.5246,-1.0624
5,50,33,6,0.0,0.0,-1.9753,1.9974,-4.1828
6,50,33,7,0.0,0.0,-0.0828,0.0838,-0.1736
7,50,33,8,0.0,0.0,-0.3583,0.3626,-0.7552
8,50,33,9,0.0146,1.96,0.0141,0.0141,0.0287
9,50,33,10,0.0,0.0,-0.4189,0.4227,-0.8681
10,50,33,average,0.0,0.0,-0.5607,0.5657,-1.168
11,51,33,1,0.0,0.0,-1.2254,1.2357,-2.5634
12,51,33,2,0.0,0.0,-8.6496,8.723,-18.5679
13,51,33,3,0.0,0.0,-0.2164,0.2182,-0.4521
14,51,33,4,0.0,0.0,-0.7699,0.777,-1.6176
15,51,33,5,0.0,0.0,-0.5092,0.5119,-1.0366
16,51,33,6,0.0,0.0,-1.9168,1.9382,-4.0584
17,51,33,7,0.0,0.0,-0.0747,0.0755,-0.1565
18,51,33,8,0.0,0.0,-0.3363,0.3404,-0.7088
19,51,33,9,0.021,1.96,0.0203,0.0204,0.0414
20,51,33,10,0.0,0.0,-0.3978,0.4014,-0.8244
21,51,33,average,0.0,0.0,-0.5435,0.5483,-1.1321
22,52,33,1,0.0,0.0,-1.1998,1.2099,-2.5098
23,52,33,2,0.0,0.0,-8.3536,8.4245,-17.919
24,52,33,3,0.0,0.0,-0.2078,0.2095,-0.4341
25,52,33,4,0.0,0.0,-0.7582,0.7652,-1.5931
26,52,33,5,0.0,0.0,-0.4966,0.4993,-1.0109
27,52,33,6,0.0,0.0,-1.8589,1.8797,-3.9354
28,52,33,7,0.0,0.0,-0.0667,0.0674,-0.1397
29,52,33,8,0.0,0.0,-0.3146,0.3184,-0.663
30,52,33,9,0.0274,1.96,0.0264,0.0266,0.0539
31,52,33,10,0.0,0.0,-0.3769,0.3803,-0.781
32,52,33,average,0.0,0.0,-0.5264,0.5311,-1.0965
33,53,33,1,0.0,0.0,-1.1745,1.1844,-2.4567
34,53,33,2,0.0,0.0,-8.0652,8.1337,-17.2875
35,53,33,3,0.0,0.0,-0.1992,0.2009,-0.4162
36,53,33,4,0.0,0.0,-0.7467,0.7536,-1.5687
37,53,33,5,0.0,0.0,-0.4841,0.4867,-0.9853
38,53,33,6,0.0,0.0,-1.8016,1.8218,-3.8138
39,53,33,7,0.0,0.0,-0.0588,0.0594,-0.1231
40,53,33,8,0.0,0.0,-0.2931,0.2966,-0.6177
41,53,33,9,0.0338,1.96,0.0326,0.0327,0.0664
42,53,33,10,0.0,0.0,-0.3562,0.3594,-0.738
43,53,33,average,0.0,0.0,-0.5095,0.514,-1.0611
44,54,33,1,0.0,0.0,-1.1495,1.1592,-2.4042
45,54,33,2,0.0,0.0,-7.7842,7.8503,-16.6732
46,54,33,3,0.0,0.0,-0.1907,0.1922,-0.3983
47,54,33,4,0.0,0.0,-0.7351,0.7419,-1.5445
48,54,33,5,0.0,0.0,-0.4716,0.4741,-0.9599
49,54,33,6,0.0,0.0,-1.745,1.7645,-3.6935
50,54,33,7,0.0,0.0,-0.051,0.0516,-0.1068
51,54,33,8,0.0,0.0,-0.2718,0.2751,-0.5728
52,54,33,9,0.0401,1.96,0.0386,0.0389,0.0789
53,54,33,10,0.0,0.0,-0.3357,0.3387,-0.6954
54,54,33,average,0.0,0.0,-0.4926,0.497,-1.026
55,55,33,1,0.0,0.0,-1.1248,1.1342,-2.3523
56,55,33,2,0.0,0.0,-7.5103,7.5742,-16.0755
57,55,33,3,0.0,0.0,-0.1821,0.1836,-0.3804
58,55,33,4,0.0,0.0,-0.7237,0.7304,-1.5204
59,55,33,5,0.0,0.0,-0.4592,0.4617,-0.9346
60,55,33,6,0.0,0.0,-1.689,1.7079,-3.5745
61,55,33,7,0.0,0.0,-0.0433,0.0438,-0.0908
62,55,33,8,0.0,0.0,-0.2508,0.2538,-0.5285
63,55,33,9,0.0464,1.96,0.0447,0.0449,0.0912
64,55,33,10,0.0,0.0,-0.3153,0.3181,-0.6531
65,55,33,average,0.0,0.0,-0.4759,0.4801,-0.9911
66,56,33,1,0.0,0.0,-1.1003,1.1095,-2.3009
67,56,33,2,0.0,0.0,-7.2436,7.3052,-15.4941
68,56,33,3,0.0,0.0,-0.1736,0.175,-0.3626
69,56,33,4,0.0,0.0,-0.7123,0.7189,-1.4964
70,56,33,5,0.0,0.0,-0.4469,0.4493,-0.9095
71,56,33,6,0.0,0.0,-1.6335,1.6518,-3.4568
72,56,33,7,0.0,0.0,-0.0358,0.0362,-0.075
73,56,33,8,0.0,0.0,-0.23,0.2328,-0.4847
74,56,33,9,0.0526,1.96,0.0507,0.051,0.1035
75,56,33,10,0.0,0.0,-0.295,0.2977,-0.6112
76,56,33,average,0.0,0.0,-0.4593,0.4634,-0.9565
77,57,33,1,0.0,0.0,-1.0761,1.0851,-2.2502
78,57,33,2,0.0,0.0,-6.9837,7.0431,-14.9284
79,57,33,3,0.0,0.0,-0.1651,0.1664,-0.3448
80,57,33,4,0.0,0.0,-0.701,0.7075,-1.4726
81,57,33,5,0.0,0.0,-0.4346,0.437,-0.8844
82,57,33,6,0.0,0.0,-1.5787,1.5964,-3.3404
83,57,33,7,0.0,0.0,-0.0283,0.0287,-0.0594
84,57,33,8,0.0,0.0,-0.2094,0.212,-0.4413
85,57,33,9,0.0588,1.96,0.0567,0.057,0.1157
86,57,33,10,0.0,0.0,-0.275,0.2775,-0.5696
87,57,33,average,0.0,0.0,-0.4428,0.4467,-0.9221
88,58,33,1,0.0,0.0,-1.0521,1.061,-2.1999
89,58,33,2,0.0,0.0,-6.7306,6.7879,-14.3781
90,58,33,3,0.0,0.0,-0.1566,0.1579,-0.3271
91,58,33,4,0.0,0.0,-0.6897,0.6961,-1.4488
92,58,33,5,0.0,0.0,-0.4224,0.4247,-0.8596
93,58,33,6,0.0,0.0,-1.5245,1.5415,-3.2253
94,58,33,7,0.0,0.0,-0.021,0.0213,-0.0441
95,58,33,8,0.0,0.0,-0.1891,0.1914,-0.3985
96,58,33,9,0.065,1.96,0.0626,0.063,0.1278
97,58,33,10,0.0,0.0,-0.2551,0.2574,-0.5283
98,58,33,average,0.0,0.0,-0.4264,0.4302,-0.888
99,59,33,1,0.0,0.0,-1.0284,1.0371,-2.1503
100,59,33,2,0.0,0.0,-6.484,6.5392,-13.8428
101,59,33,3,0.0,0.0,-0.1482,0.1494,-0.3095
102,59,33,4,0.0,0.0,-0.6785,0.6847,-1.4252
103,59,33,5,0.0,0.0,-0.4103,0.4125,-0.8348
104,59,33,6,0.0,0.0,-1.4708,1.4873,-3.1114
105,59,33,7,0.0,0.0,-0.0138,0.014,-0.029
106,59,33,8,0.0,0.0,-0.169,0.1711,-0.3561
107,59,33,9,0.0711,1.96,0.0685,0.0689,0.1399
108,59,33,10,0.0,0.0,-0.2353,0.2375,-0.4874
109,59,33,average,0.0,0.0,-0.4102,0.4138,-0.8541
110,60,33,1,0.0,0.0,-1.005,1.0135,-2.1011
111,60,33,2,0.0,0.0,-6.2439,6.2971,-13.3221
112,60,33,3,0.0,0.0,-0.1397,0.1409,-0.2918
113,60,33,4,0.0,0.0,-0.6673,0.6735,-1.4017
114,60,33,5,0.0,0.0,-0.3982,0.4004,-0.8102
115,60,33,6,0.0,0.0,-1.4177,1.4336,-2.9988
116,60,33,7,0.0,0.0,-0.0067,0.0068,-0.0141
117,60,33,8,0.0,0.0,-0.1491,0.1509,-0.3142
118,60,33,9,0.0772,1.96,0.0744,0.0748,0.1518
119,60,33,10,0.0,0.0,-0.2158,0.2177,-0.4469
120,60,33,average,0.0,0.0,-0.394,0.3975,-0.8204
121,61,33,1,0.0,0.0,-0.9818,0.9901,-2.0525
122,61,33,2,0.0,0.0,-6.01,6.0612,-12.8156
123,61,33,3,0.0,0.0,-0.1313,0.1324,-0.2743
124,61,33,4,0.0,0.0,-0.6562,0.6623,-1.3783
125,61,33,5,0.0,0.0,-0.3862,0.3883,-0.7857
126,61,33,6,0.0,0.0,-1.3652,1.3805,-2.8875
127,61,33,7,0.0003,1.26,0.0003,0.0003,0.0005
128,61,33,8,0.0,0.0,-0.1295,0.131,-0.2727
129,61,33,9,0.0833,1.96,0.0802,0.0807,0.1637
130,61,33,10,0.0,0.0,-0.1963,0.1981,-0.4066
131,61,33,average,0.0,0.0,-0.378,0.3814,-0.787
132,62,33,1,0.0,0.0,-0.9589,0.967,-2.0045
133,62,33,2,0.0,0.0,-5.7822,5.8315,-12.3228
134,62,33,3,0.0,0.0,-0.1229,0.1239,-0.2568
135,62,33,4,0.0,0.0,-0.6451,0.6511,-1.3551
136,62,33,5,0.0,0.0,-0.3742,0.3763,-0.7613
137,62,33,6,0.0,0.0,-1.3133,1.328,-2.7773
138,62,33,7,0.0076,1.26,0.0071,0.0072,0.0149
139,62,33,8,0.0,0.0,-0.11,0.1113,-0.2318
140,62,33,9,0.0893,1.96,0.086,0.0865,0.1756
141,62,33,10,0.0,0.0,-0.1771,0.1787,-0.3667
142,62,33,average,0.0,0.0,-0.3621,0.3653,-0.7539
143,63,33,1,0.0,0.0,-0.9362,0.9441,-1.957
144,63,33,2,0.0,0.0,-5.5604,5.6078,-11.8436
145,63,33,3,0.0,0.0,-0.1146,0.1155,-0.2393
146,63,33,4,0.0,0.0,-0.6341,0.64,-1.332
147,63,33,5,0.0,0.0,-0.3623,0.3643,-0.7371
148,63,33,6,0.0,0.0,-1.2619,1.276,-2.6684
149,63,33,7,0.0147,1.26,0.0139,0.0141,0.0291
150,63,33,8,0.0,0.0,-0.0908,0.0919,-0.1912
151,63,33,9,0.0953,1.96,0.0918,0.0923,0.1873
152,63,33,10,0.0,0.0,-0.158,0.1594,-0.3272
153,63,33,average,0.0,0.0,-0.3463,0.3494,-0.7209
154,64,33,1,0.0,0.0,-0.9138,0.9215,-1.91
155,64,33,2,0.0,0.0,-5.3444,5.39,-11.3774
156,64,33,3,0.0,0.0,-0.1062,0.1071,-0.2219
157,64,33,4,0.0,0.0,-0.6232,0.629,-1.3089
158,64,33,5,0.0,0.0,-0.3505,0.3524,-0.713
159,64,33,6,0.0,0.0,-1.211,1.2246,-2.5606
160,64,33,7,0.0218,1.26,0.0206,0.0208,0.0431
161,64,33,8,0.0,0.0,-0.0718,0.0726,-0.1512
162,64,33,9,0.1013,1.96,0.0975,0.0981,0.199
163,64,33,10,0.0,0.0,-0.139,0.1403,-0.2879
164,64,33,average,0.0,0.0,-0.3306,0.3335,-0.6882
165,65,33,1,0.0,0.0,-0.8916,0.8991,-1.8635
166,65,33,2,0.0,0.0,-5.1341,5.178,-10.924
167,65,33,3,0.0,0.0,-0.0979,0.0987,-0.2045
168,65,33,4,0.0,0.0,-0.6123,0.618,-1.286
169,65,33,5,0.0,0.0,-0.3388,0.3406,-0.689
170,65,33,6,0.0,0.0,-1.1608,1.1738,-2.4541
171,65,33,7,0.0287,1.26,0.0271,0.0274,0.0569
172,65,33,8,0.0,0.0,-0.053,0.0536,-0.1116
173,65,33,9,0.1072,1.96,0.1032,0.1038,0.2106
174,65,33,10,0.0,0.0,-0.1203,0.1213,-0.249
175,65,33,average,0.0,0.0,-0.315,0.3178,-0.6558
176,66,33,1,0.0,0.0,-0.8697,0.877,-1.8175
177,66,33,2,0.0,0.0,-4.9293,4.9715,-10.483
178,66,33,3,0.0,0.0,-0.0896,0.0904,-0.1872
179,66,33,4,0.0,0.0,-0.6015,0.607,-1.2633
180,66,33,5,0.0,0.0,-0.327,0.3288,-0.6652
181,66,33,6,0.0,0.0,-1.111,1.1235,-2.3487
182,66,33,7,0.0356,1.26,0.0336,0.034,0.0704
183,66,33,8,0.0,0.0,-0.0344,0.0348,-0.0724
184,66,33,9,0.1131,1.96,0.1089,0.1095,0.2222
185,66,33,10,0.0,0.0,-0.1016,0.1025,-0.2104
186,66,33,average,0.0,0.0,-0.2995,0.3022,-0.6235
187,67,33,1,0.0,0.0,-0.848,0.8551,-1.772
188,67,33,2,0.0,0.0,-4.73,4.7704,-10.054
189,67,33,3,0.0,0.0,-0.0814,0.082,-0.1699
190,67,33,4,0.0,0.0,-0.5907,0.5962,-1.2406
191,67,33,5,0.0,0.0,-0.3154,0.3171,-0.6414
192,67,33,6,0.0,0.0,-1.0618,1.0737,-2.2445
193,67,33,7,0.0423,1.26,0.04,0.0404,0.0837
194,67,33,8,0.0,0.0,-0.016,0.0162,-0.0336
195,67,33,9,0.1189,1.96,0.1145,0.1152,0.2336
196,67,33,10,0.0,0.0,-0.0831,0.0839,-0.1721
197,67,33,average,0.0,0.0,-0.2842,0.2867,-0.5915
198,68,33,1,0.0,0.0,-0.8265,0.8335,-1.727
199,68,33,2,0.0,0.0,-4.5359,4.5747,-9.6369
200,68,33,3,0.0,0.0,-0.0731,0.0737,-0.1527
201,68,33,4,0.0,0.0,-0.58,0.5853,-1.218
202,68,33,5,0.0,0.0,-0.3038,0.3055,-0.6178
203,68,33,6,0.0,0.0,-1.0131,1.0245,-2.1414
204,68,33,7,0.0489,1.26,0.0462,0.0468,0.0969
205,68,33,8,0.0024,1.87,0.0022,0.0023,0.0047
206,68,33,9,0.1247,1.96,0.1201,0.1208,0.2451
207,68,33,10,0.0,0.0,-0.0648,0.0654,-0.1341
208,68,33,average,0.0,0.0,-0.2689,0.2713,-0.5598
209,69,33,1,0.0,0.0,-0.8053,0.8121,-1.6826
210,69,33,2,0.0,0.0,-4.3469,4.3842,-9.2311
211,69,33,3,0.0,0.0,-0.0649,0.0654,-0.1355
212,69,33,4,0.0,0.0,-0.5693,0.5746,-1.1956
213,69,33,5,0.0,0.0,-0.2923,0.2939,-0.5944
214,69,33,6,0.0,0.0,-0.965,0.9758,-2.0394
215,69,33,7,0.0555,1.26,0.0524,0.053,0.1098
216,69,33,8,0.0214,1.87,0.0202,0.0205,0.0426
217,69,33,9,0.1305,1.96,0.1257,0.1264,0.2564
218,69,33,10,0.0,0.0,-0.0466,0.047,-0.0965
219,69,33,average,0.0,0.0,-0.2538,0.256,-0.5282
220,70,33,1,0.0,0.0,-0.7843,0.7909,-1.6386
221,70,33,2,0.0,0.0,-4.163,4.1987,-8.8365
222,70,33,3,0.0,0.0,-0.0567,0.0572,-0.1184
223,70,33,4,0.0,0.0,-0.5587,0.5639,-1.1733
224,70,33,5,0.0,0.0,-0.2808,0.2824,-0.571
225,70,33,6,0.0,0.0,-0.9174,0.9277,-1.9386
226,70,33,7,0.0619,1.26,0.0585,0.0591,0.1225
227,70,33,8,0.0402,1.87,0.038,0.0385,0.08
228,70,33,9,0.1362,1.96,0.1312,0.1319,0.2677
229,70,33,10,0.0,0.0,-0.0286,0.0288,-0.0591
230,70,33,average,0.0,0.0,-0.2387,0.2409,-0.4969
231,71,33,1,0.0,0.0,-0.7635,0.7699,-1.5951
232,71,33,2,0.0,0.0,-3.9839,4.0181,-8.4528
233,71,33,3,0.0,0.0,-0.0485,0.0489,-0.1013
234,71,33,4,0.0,0.0,-0.5481,0.5532,-1.1511
235,71,33,5,0.0,0.0,-0.2694,0.2709,-0.5478
236,71,33,6,0.0,0.0,-0.8703,0.88,-1.8389
237,71,33,7,0.0682,1.26,0.0645,0.0652,0.135
238,71,33,8,0.0589,1.87,0.0556,0.0563,0.1171
239,71,33,9,0.142,1.96,0.1367,0.1375,0.2789
240,71,33,10,0.0,0.0,-0.0107,0.0108,-0.0221
241,71,33,average,0.0,0.0,-0.2238,0.2258,-0.4658
242,72,33,1,0.0,0.0,-0.7429,0.7492,-1.552
243,72,33,2,0.0,0.0,-3.8097,3.8424,-8.0795
244,72,33,3,0.0,0.0,-0.0403,0.0407,-0.0842
245,72,33,4,0.0,0.0,-0.5376,0.5426,-1.129
246,72,33,5,0.0,0.0,-0.2581,0.2595,-0.5247
247,72,33,6,0.0,0.0,-0.8237,0.8329,-1.7403
248,72,33,7,0.0745,1.26,0.0703,0.0711,0.1474
249,72,33,8,0.0773,1.87,0.073,0.0739,0.1537
250,72,33,9,0.1476,1.96,0.1422,0.1429,0.29
251,72,33,10,0.0074,1.87,0.0071,0.0071,0.0146
252,72,33,average,0.0,0.0,-0.209,0.2108,-0.4349
253,73,33,1,0.0,0.0,-0.7226,0.7287,-1.5095
254,73,33,2,0.0,0.0,-3.64,3.6713,-7.7166
255,73,33,3,0.0,0.0,-0.0322,0.0325,-0.0673
256,73,33,4,0.0,0.0,-0.5272,0.5321,-1.107
257,73,33,5,0.0,0.0,-0.2468,0.2481,-0.5017
258,73,33,6,0.0,0.0,-0.7776,0.7863,-1.6427
259,73,33,7,0.0806,1.26,0.0761,0.077,0.1595
260,73,33,8,0.0955,1.87,0.0902,0.0913,0.1899
261,73,33,9,0.1533,1.96,0.1476,0.1484,0.3011
262,73,33,10,0.0259,1.87,0.0247,0.0249,0.051
263,73,33,average,0.0,0.0,-0.1943,0.196,-0.4043
264,74,33,1,0.0,0.0,-0.7025,0.7084,-1.4674
265,74,33,2,0.0,0.0,-3.4749,3.5048,-7.3636
266,74,33,3,0.0,0.0,-0.0241,0.0243,-0.0503
267,74,33,4,0.0,0.0,-0.5168,0.5216,-1.0851
268,74,33,5,0.0,0.0,-0.2356,0.2369,-0.4789
269,74,33,6,0.0,0.0,-0.732,0.7402,-1.5463
270,74,33,7,0.0867,1.26,0.0818,0.0828,0.1715
271,74,33,8,0.1135,1.87,0.1072,0.1085,0.2258
272,74,33,9,0.1589,1.96,0.153,0.1538,0.312
273,74,33,10,0.0443,1.87,0.0421,0.0425,0.0872
274,74,33,average,0.0,0.0,-0.1796,0.1812,-0.3738
275,75,33,1,0.0,0.0,-0.6826,0.6884,-1.4258
276,75,33,2,0.0,0.0,-3.3143,3.3428,-7.0203
277,75,33,3,0.0,0.0,-0.016,0.0161,-0.0334
278,75,33,4,0.0,0.0,-0.5064,0.5111,-1.0633
279,75,33,5,0.0,0.0,-0.2244,0.2256,-0.4562
280,75,33,6,0.0,0.0,-0.6869,0.6946,-1.4509
281,75,33,7,0.0926,1.26,0.0875,0.0885,0.1833
282,75,33,8,0.1314,1.87,0.124,0.1255,0.2612
283,75,33,9,0.1645,1.96,0.1584,0.1592,0.323
284,75,33,10,0.0625,1.87,0.0594,0.06,0.123
285,75,33,average,0.0,0.0,-0.1651,0.1666,-0.3436
286,76,33,1,0.0,0.0,-0.6629,0.6685,-1.3846
287,76,33,2,0.0,0.0,-3.1579,3.1851,-6.6865
288,76,33,3,0.0,0.0,-0.0079,0.008,-0.0166
289,76,33,4,0.0,0.0,-0.4961,0.5007,-1.0417
290,76,33,5,0.0,0.0,-0.2133,0.2145,-0.4335
291,76,33,6,0.0,0.0,-0.6423,0.6495,-1.3565
292,76,33,7,0.0985,1.26,0.093,0.0941,0.1949
293,76,33,8,0.149,1.87,0.1407,0.1424,0.2962
294,76,33,9,0.17,1.96,0.1637,0.1646,0.3338
295,76,33,10,0.0806,1.87,0.0766,0.0773,0.1585
296,76,33,average,0.0,0.0,-0.1507,0.1521,-0.3136
297,77,33,1,0.0,0.0,-0.6435,0.6489,-1.3439
298,77,33,2,0.0,0.0,-3.0057,3.0316,-6.3619
299,77,33,3,0.0001,0.87,0.0001,0.0001,0.0002
300,77,33,4,0.0,0.0,-0.4859,0.4904,-1.0202
301,77,33,5,0.0,0.0,-0.2022,0.2033,-0.4111
302,77,33,6,0.0,0.0,-0.5981,0.6049,-1.2632
303,77,33,7,0.1042,1.26,0.0985,0.0996,0.2063
304,77,33,8,0.1664,1.87,0.1571,0.159,0.3308
305,77,33,9,0.1755,1.96,0.169,0.1699,0.3446
306,77,33,10,0.0985,1.87,0.0936,0.0945,0.1938
307,77,33,average,0.0,0.0,-0.1364,0.1376,-0.2838
308,78,33,1,0.0,0.0,-0.6242,0.6295,-1.3036
309,78,33,2,0.0,0.0,-2.8576,2.8822,-6.0463
310,78,33,3,0.0085,0.87,0.0081,0.0082,0.017
311,78,33,4,0.0,0.0,-0.4757,0.4801,-0.9987
312,78,33,5,0.0,0.0,-0.1912,0.1923,-0.3887
313,78,33,6,0.0,0.0,-0.5545,0.5607,-1.1709
314,78,33,7,0.1099,1.26,0.1038,0.105,0.2175
315,78,33,8,0.1837,1.87,0.1734,0.1755,0.3651
316,78,33,9,0.181,1.96,0.1742,0.1752,0.3554
317,78,33,10,0.1163,1.87,0.1105,0.1115,0.2287
318,78,33,average,0.0,0.0,-0.1222,0.1233,-0.2542
319,79,33,1,0.0,0.0,-0.6052,0.6103,-1.2638
320,79,33,2,0.0,0.0,-2.7135,2.7369,-5.7394
321,79,33,3,0.0168,0.87,0.0161,0.0163,0.0337
322,79,33,4,0.0,0.0,-0.4655,0.4699,-0.9774
323,79,33,5,0.0,0.0,-0.1803,0.1813,-0.3664
324,79,33,6,0.0,0.0,-0.5113,0.517,-1.0796
325,79,33,7,0.1155,1.26,0.1091,0.1104,0.2286
326,79,33,8,0.2007,1.87,0.1895,0.1918,0.399
327,79,33,9,0.1864,1.96,0.1795,0.1805,0.366
328,79,33,10,0.1339,1.87,0.1273,0.1284,0.2634
329,79,33,average,0.0,0.0,-0.1081,0.109,-0.2249
330,80,33,1,0.0,0.0,-0.5864,0.5913,-1.2244
331,80,33,2,0.0,0.0,-2.5732,2.5955,-5.4409
332,80,33,3,0.0251,0.87,0.0241,0.0243,0.0504
333,80,33,4,0.0,0.0,-0.4555,0.4597,-0.9562
334,80,33,5,0.0,0.0,-0.1694,0.1703,-0.3443
335,80,33,6,0.0,0.0,-0.4686,0.4739,-0.9894
336,80,33,7,0.121,1.26,0.1143,0.1156,0.2395
337,80,33,8,0.2176,1.87,0.2054,0.2079,0.4324
338,80,33,9,0.1919,1.96,0.1847,0.1857,0.3766
339,80,33,10,0.1514,1.87,0.1439,0.1452,0.2977
340,80,33,average,0.0,0.0,-0.0941,0.0949,-0.1957
341,81,33,1,0.0,0.0,-0.5677,0.5725,-1.1854
342,81,33,2,0.0,0.0,-2.4368,2.4578,-5.1506
343,81,33,3,0.0333,0.87,0.0321,0.0323,0.067
344,81,33,4,0.0,0.0,-0.4454,0.4495,-0.9351
345,81,33,5,0.0,0.0,-0.1586,0.1595,-0.3223
346,81,33,6,0.0,0.0,-0.4263,0.4311,-0.9001
347,81,33,7,0.1265,1.26,0.1194,0.1208,0.2502
348,81,33,8,0.2343,1.87,0.2211,0.2238,0.4656
349,81,33,9,0.1972,1.96,0.1899,0.1909,0.3872
350,81,33,10,0.1688,1.87,0.1604,0.1618,0.3318
351,81,33,average,0.0,0.0,-0.0802,0.0809,-0.1668
352,82,33,1,0.0,0.0,-0.5493,0.5539,-1.1469
353,82,33,2,0.0,0.0,-2.304,2.3239,-4.8684
354,82,33,3,0.0416,0.87,0.04,0.0404,0.0836
355,82,33,4,0.0,0.0,-0.4354,0.4395,-0.9141
356,82,33,5,0.0,0.0,-0.1478,0.1486,-0.3004
357,82,33,6,0.0,0.0,-0.3845,0.3889,-0.8118
358,82,33,7,0.1318,1.26,0.1245,0.1259,0.2608
359,82,33,8,0.2508,1.87,0.2367,0.2395,0.4983
360,82,33,9,0.2026,1.96,0.195,0.1961,0.3976
361,82,33,10,0.186,1.87,0.1767,0.1783,0.3656
362,82,33,average,0.0,0.0,-0.0664,0.0669,-0.138
363,83,33,1,0.0,0.0,-0.5311,0.5356,-1.1088
364,83,33,2,0.0,0.0,-2.1748,2.1936,-4.594
365,83,33,3,0.0498,0.87,0.0479,0.0483,0.1001
366,83,33,4,0.0,0.0,-0.4255,0.4294,-0.8932
367,83,33,5,0.0,0.0,-0.1371,0.1379,-0.2786
368,83,33,6,0.0,0.0,-0.3432,0.3471,-0.7245
369,83,33,7,0.1371,1.26,0.1294,0.1309,0.2712
370,83,33,8,0.2671,1.87,0.252,0.2551,0.5307
371,83,33,9,0.2079,1.96,0.2001,0.2012,0.4081
372,83,33,10,0.2031,1.87,0.1929,0.1947,0.3992
373,83,33,average,0.0,0.0,-0.0526,0.0531,-0.1095
374,84,33,1,0.0,0.0,-0.5131,0.5174,-1.0711
375,84,33,2,0.0,0.0,-2.0491,2.0669,-4.3272
376,84,33,3,0.058,0.87,0.0558,0.0563,0.1166
377,84,33,4,0.0,0.0,-0.4156,0.4194,-0.8724
378,84,33,5,0.0,0.0,-0.1265,0.1272,-0.2569
379,84,33,6,0.0,0.0,-0.3023,0.3057,-0.6381
380,84,33,7,0.1422,1.26,0.1343,0.1359,0.2814
381,84,33,8,0.2832,1.87,0.2673,0.2705,0.5627
382,84,33,9,0.2132,1.96,0.2052,0.2063,0.4184
383,84,33,10,0.22,1.87,0.209,0.2109,0.4324
384,84,33,average,0.0,0.0,-0.039,0.0394,-0.0812
385,85,33,1,0.0,0.0,-0.4952,0.4994,-1.0338
386,85,33,2,0.0,0.0,-1.9268,1.9435,-4.0678
387,85,33,3,0.0662,0.87,0.0637,0.0642,0.133
388,85,33,4,0.0,0.0,-0.4058,0.4095,-0.8518
389,85,33,5,0.0,0.0,-0.1159,0.1165,-0.2354
390,85,33,6,0.0,0.0,-0.2619,0.2648,-0.5527
391,85,33,7,0.1473,1.26,0.1391,0.1407,0.2915
392,85,33,8,0.2991,1.87,0.2823,0.2857,0.5944
393,85,33,9,0.2184,1.96,0.2102,0.2114,0.4287
394,85,33,10,0.2368,1.87,0.225,0.227,0.4654
395,85,33,average,0.0,0.0,-0.0255,0.0257,-0.0531
396,86,33,1,0.0,0.0,-0.4776,0.4816,-0.997
397,86,33,2,0.0,0.0,-1.8079,1.8235,-3.8155
398,86,33,3,0.0743,0.87,0.0716,0.0722,0.1494
399,86,33,4,0.0,0.0,-0.396,0.3996,-0.8312
400,86,33,5,0.0,0.0,-0.1053,0.1059,-0.2139
401,86,33,6,0.0,0.0,-0.2219,0.2244,-0.4682
402,86,33,7,0.1524,1.26,0.1439,0.1455,0.3014
403,86,33,8,0.3149,1.87,0.2972,0.3008,0.6257
404,86,33,9,0.2237,1.96,0.2152,0.2164,0.4389
405,86,33,10,0.2535,1.87,0.2408,0.243,0.4981
406,86,33,average,0.0,0.0,-0.0121,0.0122,-0.0251
407,87,33,1,0.0,0.0,-0.4602,0.464,-0.9605
408,87,33,2,0.0,0.0,-1.6921,1.7068,-3.5702
409,87,33,3,0.0825,0.87,0.0794,0.08,0.1657
410,87,33,4,0.0,0.0,-0.3862,0.3898,-0.8107
411,87,33,5,0.0,0.0,-0.0948,0.0953,-0.1926
412,87,33,6,0.0,0.0,-0.1823,0.1843,-0.3847
413,87,33,7,0.1573,1.26,0.1486,0.1503,0.3112
414,87,33,8,0.3305,1.87,0.3119,0.3157,0.6566
415,87,33,9,0.2289,1.96,0.2202,0.2214,0.4491
416,87,33,10,0.27,1.87,0.2565,0.2588,0.5305
417,87,33,average,0.0013,1.26,0.0012,0.0013,0.0026
418,88,33,1,0.0,0.0,-0.4429,0.4466,-0.9245
419,88,33,2,0.0,0.0,-1.5795,1.5932,-3.3317
420,88,33,3,0.0906,0.87,0.0872,0.0879,0.182
421,88,33,4,0.0,0.0,-0.3765,0.38,-0.7904
422,88,33,5,0.0,0.0,-0.0844,0.0849,-0.1714
423,88,33,6,0.0,0.0,-0.1431,0.1448,-0.302
424,88,33,7,0.1622,1.26,0.1532,0.1549,0.3208
425,88,33,8,0.346,1.87,0.3264,0.3304,0.6872
426,88,33,9,0.234,1.96,0.2252,0.2264,0.4592
427,88,33,10,0.2864,1.87,0.272,0.2745,0.5627
428,88,33,average,0.0151,1.26,0.0145,0.0146,0.0301
429,89,33,1,0.0,0.0,-0.4258,0.4294,-0.8888
